entry,brand,product,dm_pct,tons_acre_35dm,starch_pct,sugar_pct,ndf_pct,fibdig24_pct,undf240_pct,cp_pct,lbs_milk_acre,lbs_milk_ton,rows_planted,harvest_stand,silage_wt_lb,invitro_digest_pct
1,Pioneer,P0843AM,39.8,30.52,37.3,9.51,33.63,51.38,9.25,9.6,39054.4,3655.7,4,30,16120,71.46
2,Pioneer,P1077AM,42.6,31.82,39.1,8.2,35.17,47.71,10.26,9.2,39669.9,3562.3,4,31,15720,69.85
3,Pioneer,P1185AM,35,29.41,33.6,9.95,34.92,53.87,9.02,10.4,37678.8,3660.6,4,31,17660,71.66
4,Pioneer,P1366AM,32.1,30.27,36.3,8.69,33.12,50.15,9.28,10.6,38247.3,3609.6,4,31,19840,71.42
5,Pioneer,P1548AM,35.9,30.15,42.7,9.07,29.46,44.23,9.48,9.4,38342.7,3634,4,32,17660,73.16
6,Pioneer,P1572AM,35.2,36.05,36.9,8.57,34.73,50.42,9.66,9.7,45507.3,3606.5,4,31,21520,70.52
7,Pioneer,P1870AM,39.1,34.38,43.8,7.58,30.93,45.97,9.75,9.3,44050.4,3660.8,8,30,36980,72.45
8,DeKalb,DKC68-26RIB,35.6,30.99,39.6,9.46,31.2,46.03,9.99,10.2,39483.1,3639.7,4,31,18300,72.75
9,DeKalb,DKC67-44RIB,38.3,32.58,39.2,8.14,34.06,46.68,10.58,9,40695.1,3568.8,4,31,17900,69.92
10,Croplan Genetics,S5900VT2PRIB,30.2,27.63,36.9,9.6,34.3,41.02,12.15,8.9,32821.9,3393.5,4,31,19280,67.36
11,Croplan Genetics,5550VT2PRIB,39.6,27.37,35.3,7.27,39.34,48.88,11.62,8.9,33480.9,3495.2,4,31,14560,67.08
