order,field_id,plant_date,projected_harvest_2500gdd
1,8,2026-03-11,2026-07-13
2,R5,2026-03-12,2026-07-13
3,3N,2026-03-16,2026-07-14
4,14,2026-03-16,2026-07-14
5,5,2026-03-17,2026-07-15
6,18,2026-03-18,2026-07-16
7,R14,2026-03-19,2026-07-16
8,3S,2026-03-21,2026-07-18
9,17,2026-03-21,2026-07-18
10,13,2026-03-23,2026-07-19
11,12,2026-03-24,2026-07-20
12,R1,2026-03-24,2026-07-20
13,R2,2026-03-24,2026-07-20
14,R3,2026-03-24,2026-07-20
15,10,2026-03-25,2026-07-20
16,20N,2026-03-25,2026-07-20
17,R4,2026-03-25,2026-07-20
