no,well_label,block,gsa,use,status,depth_ft,state_well_no,latitude,longitude,apn,landowner
1,B3 Well,West block,Mid-Kaweah GSA,Agricultural,Active,,,36.269145,-119.519754,147-020-002,Bernard Tevelde Senior Ground
2,B2 New Well,West block,Mid-Kaweah GSA,Agricultural,Active,,,36.263947,-119.510608,147-020-017,Bernard Tevelde Senior Ground
3,B11 Well,West block,Mid-Kaweah GSA,Agricultural,Active,,,36.23378,-119.510897,147-060-009,Bernard Tevelde Senior Ground
4,Matthews North Well,North block,Greater Kaweah GSA,Agricultural,Active,,,36.360596,-119.256656,108-130-001,Bernard Tevelde Senior Ground
5,N2 Well,North block,Greater Kaweah GSA,Agricultural,Active,,,36.355738,-119.25664,103-010-001,Bernard Tevelde Senior Ground
6,K2 Well,North block,Greater Kaweah GSA,Agricultural,Active,,,36.35093,-119.256611,103-010-001,Bernard Tevelde Senior Ground
7,East Walnut Well,North block,Greater Kaweah GSA,Agricultural,Active,,,36.348828,-119.26124,098-010-015,Bernard Tevelde Senior Ground
8,West Walnut Well,North block,Greater Kaweah GSA,Agricultural,Active,,,36.352589,-119.265306,098-010-015,Bernard Tevelde Senior Ground
9,J1 Well,Central block,Greater Kaweah GSA,Agricultural,Active,,,36.283957,-119.280509,126-180-021,Bernard Tevelde Senior Ground
10,C6 Reservoir Well,West block,Mid-Kaweah GSA,Agricultural,Active,,,36.233405,-119.519961,147-060-007,Bernard Tevelde Senior Ground
11,C6 Well,West block,Mid-Kaweah GSA,Agricultural,Active,,,36.233386,-119.524695,147-060-007,Bernard Tevelde Senior Ground
12,B10 Well,West block,Mid-Kaweah GSA,Agricultural,Active,,,36.240416,-119.520006,147-060-008,Bernard Tevelde Senior Ground
13,B7 Well,West block,Mid-Kaweah GSA,Agricultural,Active,,,36.255066,-119.524341,147-010-001,Bernard Tevelde Senior Ground
14,B5 Well,West block,Mid-Kaweah GSA,Agricultural,Active,,,36.253969,-119.513773,147-010-001,Bernard Tevelde Senior Ground
15,B9 Well,West block,Greater Kaweah GSA,Agricultural,Active,,,36.248034,-119.529539,028-070-016,Bernard Tevelde Senior Ground
16,Field 21 Well,West block,Greater Kaweah GSA,Agricultural,Active,,,36.251839,-119.529512,028-070-009,Bernard Tevelde Senior Ground
17,Field 20 Well,West block,Greater Kaweah GSA,Agricultural,Active,,,36.255457,-119.529507,028-060-008,Bernard Tevelde Senior Ground
18,Field 24 Well,West block,Mid-Kaweah GSA,Agricultural,Active,,,36.255903,-119.519776,147-020-010,Bernard Tevelde Senior Ground
19,Cara Cara Well,Central block,Mid-Kaweah GSA,Agricultural,Active,,,36.269465,-119.309477,150-050-017,Bernard Tevelde Senior Ground
20,Sierra View North Well,Central block,Mid-Kaweah GSA,Agricultural,Active,,,36.273968,-119.292206,126-170-018,Bernard Tevelde Senior Ground
21,Sierra View Reservoir Well,Central block,Mid-Kaweah GSA,Agricultural,Active,,,36.27137,-119.289084,126-170-018,Bernard Tevelde Senior Ground
22,SFF Tulare South Well,Central block,Mid-Kaweah GSA,Agricultural,Active,,,36.273686,-119.279602,126-170-021,Bernard Tevelde Senior Ground
23,SFF Tulares North Well,Central block,Mid-Kaweah GSA,Agricultural,Active,,,36.277151,-119.279911,126-170-021,Bernard Tevelde Senior Ground
24,SFF Citrus East Well,Central block,Mid-Kaweah GSA,Agricultural,Active,,,36.281895,-119.278798,126-170-021,Bernard Tevelde Senior Ground
25,SFF Citrus North Well,Central block,Greater Kaweah GSA,Agricultural,Active,,,36.285043,-119.283296,126-180-033,Bernard Tevelde Senior Ground
26,Linda Loma Raineer Well,Central block,Greater Kaweah GSA,Agricultural,Active,,,36.289415,-119.291621,126-090-019,Bernard Tevelde Senior Ground
27,Linda Loma West Loading Area Well,Central block,Greater Kaweah GSA,Agricultural,Active,,,36.285879,-119.288196,126-090-018,Bernard Tevelde Senior Ground
28,Linda Loma Block 1 Well,Central block,Greater Kaweah GSA,Agricultural,Active,,,36.289047,-119.278312,126-140-012,Bernard Tevelde Senior Ground
29,Linda Loma East Almond Well,Central block,Greater Kaweah GSA,Agricultural,Active,,,36.290707,-119.274182,126-140-011,Bernard Tevelde Senior Ground
30,Linda Loma East Vidovich Almonds,Central block,Greater Kaweah GSA,Agricultural,Active,,,36.294143,-119.261857,126-130-023,Bernard Tevelde Senior Ground
31,Linda Loma North Well,Central block,Greater Kaweah GSA,Agricultural,Active,,,36.292466,-119.281493,126-090-014,Bernard Tevelde Senior Ground
32,Linda Loma Fall Fiesta Well,Central block,Greater Kaweah GSA,Agricultural,Active,,,36.288531,-119.27923,126-090-014,Bernard Tevelde Senior Ground
33,Linda Loma Kiwi Well,Central block,Greater Kaweah GSA,Agricultural,Active,,,36.282085,-119.269882,126-150-024,Bernard Tevelde Senior Ground
34,Linda Loma Recycle Well,Central block,Greater Kaweah GSA,Agricultural,Active,,,36.281951,-119.264791,126-150-024,Bernard Tevelde Senior Ground
35,Toor Almond Pump,Central block,Greater Kaweah GSA,Agricultural,Active,,,36.262435,-119.251812,152-020-001,Bernard Tevelde Senior Ground
36,Toor South Well,Central block,Greater Kaweah GSA,Agricultural,Active,,,36.255842,-119.256184,152-020-001,Bernard Tevelde Senior Ground
37,Linda Loma Exeter North Well,East,Greater Kaweah GSA,Agricultural,Active,,,36.279168,-119.167545,133-090-009,Bernard Tevelde Senior Ground
38,Linda Loma Exeter Shop Well,East,Greater Kaweah GSA,Agricultural,Active,,,36.279055,-119.172269,133-090-009,Bernard Tevelde Senior Ground
