ranch,field_id,year,crop,variety,planting_date,harvest_date,crop_system,prior_crop,yield_70pct_tac,yield_asreported_tac,moisture_asreported,dm_pct,lagoon_ac_in,sidedress_n_units,sulfur_at_sidedress,manure_tac,notes
hamstra,1,2022,corn_silage,,,,double_crop,,20.85,20.85,0.7,,,,,,
hamstra,2,2022,corn_silage,,,,double_crop,,27.58,27.58,0.7,,,,,,
hamstra,3,2022,corn_silage,,,,double_crop,,30.66,30.66,0.7,,,,,,
hamstra,4,2022,corn_silage,,,,double_crop,,29.43,29.43,0.7,,,,,,
hamstra,5,2022,corn_silage,,,,double_crop,,29.25,29.25,0.7,,,,,,
hamstra,6,2022,corn_silage,,,,double_crop,,30.42,30.42,0.7,,,,,,
hamstra,8,2022,corn_silage,,,,double_crop,,33.89,33.89,0.7,,,,,,
hamstra,10,2022,corn_silage,,,,double_crop,,26.74,26.74,0.7,,,,,,
hamstra,11,2022,corn_silage,,,,double_crop,,27.72,27.72,0.7,,,,,,
hamstra,15,2022,corn_silage,,,,double_crop,,30.08,30.08,0.7,,,,,,
hamstra,20,2022,corn_silage,,,,double_crop,,28.4,28.4,0.7,,,,,,
hamstra,23,2022,corn_silage,,,,double_crop,,31.68,31.68,0.7,,,,,,
hamstra,26&27,2022,corn_silage,,,,double_crop,,26.63,26.63,0.7,,,,,,
hamstra,28,2022,corn_silage,,,,double_crop,,31.15,31.15,0.7,,,,,,
hamstra,29,2022,corn_silage,,,,double_crop,,30.56,30.56,0.7,,,,,,
hamstra,32,2022,corn_silage,,,,double_crop,,29.75,29.75,0.7,,,,,,
hamstra,35,2022,corn_silage,,,,double_crop,,28.25,28.25,0.7,,,,,,
hamstra,36,2022,corn_silage,,,,double_crop,,26.92,26.92,0.7,,,,,,
hamstra,42,2022,corn_silage,,,,double_crop,,34.39,34.39,0.7,,,,,,
hamstra,C2,2022,corn_silage,,,,double_crop,,30.54,30.54,0.7,,,,,,
hamstra,C3,2022,corn_silage,,,,double_crop,,30.54,30.54,0.7,,,,,,
hamstra,C5,2022,corn_silage,,,,double_crop,,27.35,27.35,0.7,,,,,,
hamstra,D1,2022,corn_silage,,,,double_crop,,31.09,31.09,0.7,,,,,,
hamstra,31N,2022,corn_silage,,,,early_single,,38.39,38.39,0.7,,,,,,
hamstra,33,2022,corn_silage,,,,early_single,,47.53,47.53,0.7,,,,,,
hamstra,34,2022,corn_silage,,,,early_single,,41.01,41.01,0.7,,,,,,
hamstra,5,2023,corn_silage,,,,double_crop,,36.19,36.19,0.7,,,,,,
hamstra,8,2023,corn_silage,,,,double_crop,,36.64,36.64,0.7,,,,,,
hamstra,10,2023,corn_silage,,,,double_crop,,34.26,34.26,0.7,,,,,,
hamstra,11,2023,corn_silage,,,,double_crop,,31.83,31.83,0.7,,,,,,
