archive_path,title,mime_type,size_bytes,drive_id,view_url,action
Gyp field dates.xlsx.extract.md,Gyp field dates.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,16831,1ng5Cy6QDxgu3XFUy0q5flg6PbcxxxyPG,https://drive.google.com/file/d/1ng5Cy6QDxgu3XFUy0q5flg6PbcxxxyPG/view?usp=drivesdk,extract_only
2010-2020/2010/2010 Corn irrigation schedule.pdf.extract.md,2010 Corn irrigation schedule.pdf,application/pdf,874389,1b1qo_dRMGX7FNAtLEesNcTDA7B5KKvBZ,https://drive.google.com/file/d/1b1qo_dRMGX7FNAtLEesNcTDA7B5KKvBZ/view,linked_too_large
2010-2020/2010/2010 Wheat irrigation schedule.pdf.extract.md,2010 Wheat irrigation schedule.pdf,application/pdf,822010,1NIThMEMRBZhCQmQAJdOkRd1MgM9Sobhs,https://drive.google.com/file/d/1NIThMEMRBZhCQmQAJdOkRd1MgM9Sobhs/view,linked_too_large
2010-2020/2010/2010 Corn yields.xls,2010 Corn yields.xls,application/vnd.ms-excel,35840,18J7eyvrFEi9p_jvPhAJqGJ7HW878UvEu,https://drive.google.com/file/d/18J7eyvrFEi9p_jvPhAJqGJ7HW878UvEu/view,extract_failed
2010-2020/2011/2011 Wheat new.xls,2011 Wheat new.xls,application/vnd.ms-excel,36864,1A5-fNrA1eVQu29USO2Yx-G3TZ25toDSy,https://drive.google.com/file/d/1A5-fNrA1eVQu29USO2Yx-G3TZ25toDSy/view,extract_failed
2010-2020/2011/2011 alfalfa yields.xls,2011 alfalfa yields.xls,application/vnd.ms-excel,34816,1ACvFlsR9UCha3mFqtdXHLOGL110qxTT0,https://drive.google.com/file/d/1ACvFlsR9UCha3mFqtdXHLOGL110qxTT0/view,extract_failed
2010-2020/2011/2011 alfalfa irrigation.xlsx,2011 alfalfa irrigation.xlsx,xlsx,13042,1CUQvrWcXxw-YtIKMBthkDYaeg1CUn1qz,https://drive.google.com/file/d/1CUQvrWcXxw-YtIKMBthkDYaeg1CUn1qz/view,extracted
2010-2020/2011/2011 manure water divide 10.xls,2011 manure water divide 10.xls,application/vnd.ms-excel,37376,12ZXziMleYZFV-vrrbXUwCRXNKkBeBHMY,https://drive.google.com/file/d/12ZXziMleYZFV-vrrbXUwCRXNKkBeBHMY/view,extract_failed
2010-2020/2011/2011 manure water.xls,2011 manure water.xls,application/vnd.ms-excel,37376,1mgk7Ds52QMfHzZ7Qv42LE2eBTRpDdcEh,https://drive.google.com/file/d/1mgk7Ds52QMfHzZ7Qv42LE2eBTRpDdcEh/view,extract_failed
2010-2020/2011/2011_Dekalb feed analysis.pdf,2011_Dekalb feed analysis.pdf,application/pdf,89152,1zh7FLVtiSw6i803EAMNDt9mpoeBLTy9y,https://drive.google.com/file/d/1zh7FLVtiSw6i803EAMNDt9mpoeBLTy9y/view,extracted
2010-2020/2011/2011 Dry Manure.xls,2011 Dry Manure.xls,application/vnd.ms-excel,25600,15VjocDtaQySqO5X2XHViHveLkYdS0NRe,https://drive.google.com/file/d/15VjocDtaQySqO5X2XHViHveLkYdS0NRe/view,extract_failed
2010-2020/2011/Field grades (01).xls,Field grades (01).xls,application/vnd.ms-excel,20484,1ZaW4LlWIF2rlkCau3fTMEyM7s6RHWBB6,https://drive.google.com/file/d/1ZaW4LlWIF2rlkCau3fTMEyM7s6RHWBB6/view,extract_failed
